Key,Autor,Año,Título (abrev.),Fuente,DOI,Estado
Abdous2011,Abdous,2011,A process-oriented framework for acquiring online teaching competencies,Journal of Computing in Higher Education,✓,✓
AnEtAl2009,An et al.,2009,The effects of different instructor facilitation approaches...,Computers & Education,✓,✓
BandiEtAl2025,Bandi et al.,2025,The Rise of Agentic AI: A Review of Definitions...,Future Internet,✓,✓
BineyEkeyi2018,Biney et al.,2018,Improving Teaching And Learning In Higher Education Institutions,MIER Journal of Educational Studies,—,✓
BlignautTrollip2003,Blignaut et al.,2003,Developing a taxonomy of faculty participation in async learning,Computers & Education,✓,✓
Brown2015,Brown,2015,The use of in-class debates as a teaching strategy,Education Forum,—,✓
BrownEtAl2020,Brown et al.,2020,Language Models are Few-Shot Learners,NeurIPS 2020,—,✓
CasebourneEtAl2025,Casebourne et al.,2025,Using AI to Support Education for Collective Intelligence,International Journal of Artificial Intelligence in Education,✓,✓
ChangDanescu2019,Chang et al.,2019,Trouble on the Horizon: Forecasting Derailment of Online Conversations,EMNLP-IJCNLP 2019,✓,✓
ChenEtAl2023tutoring,Chen et al.,2023,Empowering Private Tutoring by Chaining Large Language Models,arXiv,—,⚠️ preprint
ChuEtAl2025,Chu et al.,2025,LLM Agents for Education: Advances and Applications,EMNLP 2025 Findings,—,✓
Coursera2024,Coursera,2024,Presenting the 2024 Coursera Global Skills Report,Report,—,✓
DegenAsanov2025,Degen et al.,2025,Beyond Automation: Socratic AI and Epistemic Agency,arXiv,✓,⚠️ preprint
DeWeverEtAl2010,De Wever et al.,2010,Roles as a structuring tool in online discussion groups,Computers in Human Behavior,✓,✓
DwivediEtAl2026,Dwivedi et al.,2026,Agentic AI Systems: What It Is and Isn't,Global Business and Organizational Excellence,✓,✓
GaebelEtAl2021,Gaebel et al.,2021,Digitally Enhanced Learning and Teaching in European HEIs,European University Association,—,✓
GaebelEtAl2025,Gaebel et al.,2025,The Digital Transformation and Europe's Universities,European University Association,—,✓
GarrisonEtAl2000,Garrison et al.,2000,Critical Inquiry in a Text-Based Environment,The Internet and Higher Education,✓,✓
GraesserEtAl2017,Graesser et al.,2017,Assessment with computer agents in conversational dialogues,Computers in Human Behavior,✓,✓
GuEtAl2021,Gu et al.,2021,A Case-based Reasoning Approach for Supporting Facilitation,Group Decision and Negotiation,✓,✓
HoSwan2007,Ho et al.,2007,Evaluating online conversation via Grice's cooperative principle,The Internet and Higher Education,✓,✓
Human2Human2025,Human2Human AI,2025,Human2Human AI: The Active Learning Layer for Online Education,Plataforma comercial,—,⚠️ no peer-reviewed
Kapur2016,Kapur,2016,Examining Productive Failure Productive Success...,Instructional Science,✓,✓
KilincKececioglu2024,Kilinç et al.,2024,Generative Artificial Intelligence: A Historical and Future Perspective,Academic Platform Journal of Engineering and Smart Systems,✓,✓
KimEtAl2021,Kim et al.,2021,Moderator Chatbot for Deliberative Discussion,Proceedings of the ACM on Human-Computer Interaction,✓,✓
KorreEtAl2025,Korre et al.,2025,Evaluation and Facilitation of Online Discussions in the LLM Era,EMNLP 2025,✓,✓
KostopoulosEtAl2025,Kostopoulos et al.,2025,Agentic AI in Education: State of the Art and Future Directions,IEEE Access,✓,✓
LimEtAl2011,Lim et al.,2011,Critical Thinking in Asynchronous Online Discussion,New Horizons in Education,—,✓
LippertEtAl2020,Lippert et al.,2020,Multiple Agent Designs in Conversational Intelligent Tutoring Systems,Technology Knowledge and Learning,✓,✓
Mansour2024,Mansour,2024,Students' and facilitators' experiences with online dialogic discussions,Education and Information Technologies,✓,✓
MarketGrowthReports2026,Market Growth Reports,2026,Massive Open Online Course (MOOC) Market Size Report,Market report,—,✓
MasseyEtAl2019,Massey et al.,2019,A scoping review of nursing students' use of online discussion boards,Nurse Education Today,✓,✓
ParkEtAl2023,Park et al.,2023,Generative Agents: Interactive Simulacra of Human Behavior,ACM UIST 2023,✓,✓
PilkingtonWalker2003,Pilkington et al.,2003,Facilitating debate in networked learning,Instructional Science,✓,✓
RichardsonEtAl2015,Richardson et al.,2015,Conceptualizing and Investigating Instructor Presence in Online Learning,International Review of Research in Open and Distributed Learning,✓,✓
Rovai2007,Rovai,2007,Facilitating online discussions effectively,The Internet and Higher Education,✓,✓
SengarEtAl2025,Sengar et al.,2025,Generative Artificial Intelligence: A Systematic Review,Multimedia Tools and Applications,✓,✓
SikstromEtAl2022,Sikstrom et al.,2022,How pedagogical agents communicate with students,Computers & Education,✓,✓
SullivanPratt1996,Sullivan et al.,1996,A comparative study of two ESL writing environments,System,—,✓
VanLehn2011,VanLehn,2011,The Relative Effectiveness of Human Tutoring vs. ITS,Educational Psychologist,✓,✓
WissuchekZschech2025,Wissuchek et al.,2025,Exploring Agentic Artificial Intelligence Systems: Typological Framework,PACIS 2025,—,✓
WooReeves2007,Woo et al.,2007,Meaningful interaction in web-based learning: A social constructivist interpretation,The Internet and Higher Education,✓,✓
YuEtAl2024maic,Yu et al.,2024,From MOOC to MAIC: Reimagine Online Teaching Through LLM-Driven Agents,Journal of Computer Science and Technology,✓,✓
YuEtAl2024review,Yu et al.,2024,A Systematic Review of the Effects of AI-Assisted Moderation,Human-Machine Communication,✓,✓
ZhangEtAl2024simclass,Zhang et al.,2025,Simulating Classroom Education with LLM-Empowered Agents,NAACL 2025,—,✓
ZulfikarEtAl2019,Zulfikar et al.,2019,The Effectiveness of Online Learning with Facilitation Method,Procedia Computer Science,✓,✓
